region,cape_j_kg,lifted_index,precipitable_water_mm,wind_shear_0_6km_kts,rh_850hpa_pct,temp_anomaly_c,radar_reflectivity_dbz,rain_rate_mm_hr,rainfall_3h_accum_mm,cloud_top_temp_c,pressure_trend_3h_hpa,wind_gust_kmh,surface_temp_c,layer1_synoptic_instability,layer2_mesoscale_trigger,composite_risk_score,hazard_type
North (Delhi / Dehradun / Srinagar),1336.5,4.62,52.6,19.6,73.9,-4.78,30.0,4.5,6.6,-22.5,-1.24,51.7,20.9,38.7,26.3,30.1,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1835.1,2.47,38.6,44.7,62.9,3.63,33.2,5.9,8.1,-9.8,0.16,90.3,34.0,46.3,28.5,33.8,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1589.8,3.71,39.6,20.7,60.6,-3.09,1.7,7.2,14.2,-18.0,-0.34,10.0,25.4,38.9,6.3,16.1,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),602.6,6.0,30.7,12.7,87.7,0.47,16.5,20.9,45.7,18.0,-0.34,10.0,23.4,23.3,22.5,22.7,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),1814.1,2.84,12.0,27.8,80.4,-1.32,39.6,8.5,16.0,-40.6,0.41,10.0,13.5,39.3,33.5,35.2,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),2606.8,-0.29,22.1,50.2,68.7,1.15,52.7,70.1,172.6,-43.6,4.5,11.9,29.3,55.2,58.6,57.5,CLOUDBURST_FLASHFLOOD
Central (Nagpur / Bhopal / Raipur),494.0,5.5,26.5,27.9,48.5,-3.52,11.1,1.4,3.1,-29.5,1.39,19.5,23.7,23.5,11.0,14.8,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),543.4,6.7,47.9,12.8,88.4,3.91,37.1,1.4,2.1,-4.3,-0.98,20.3,23.6,26.0,22.3,23.4,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),818.6,3.98,44.1,10.3,21.6,-0.29,32.3,0.4,1.0,-28.3,-0.89,10.0,30.7,22.7,23.6,23.3,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1119.9,4.43,57.2,65.0,45.3,1.6,15.1,4.4,9.2,-26.7,-0.41,50.9,27.6,43.7,18.3,25.9,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),2188.4,2.26,25.2,14.9,95.6,-1.26,23.9,0.0,0.1,-56.3,-0.68,31.3,24.9,45.6,28.4,33.6,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),2589.2,0.38,67.0,23.6,80.5,4.15,46.7,21.0,38.2,-71.3,-1.28,46.6,30.7,60.0,54.5,56.1,MODERATE_RAIN_SHOWERS
West (Mumbai / Ahmedabad / Jaipur),692.0,5.74,65.7,35.9,75.0,-2.52,32.9,5.8,10.7,-17.5,1.84,38.2,19.4,34.0,26.3,28.6,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),1484.4,2.57,42.5,14.9,45.6,-5.0,40.9,2.5,5.3,-11.2,-1.3,10.0,25.4,37.8,26.2,29.7,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),2525.6,1.49,32.4,16.4,86.8,3.5,60.5,23.5,59.7,-57.5,-4.34,10.0,38.1,46.4,60.2,56.0,MODERATE_RAIN_SHOWERS
Central (Nagpur / Bhopal / Raipur),4329.4,-2.95,33.1,52.5,89.9,-2.09,44.1,6.2,10.8,-61.0,-1.7,25.9,28.0,88.7,44.4,57.6,MODERATE_RAIN_SHOWERS
South (Chennai / Bengaluru / Hyderabad / Kochi),1479.3,3.09,44.8,20.7,58.1,0.35,28.6,2.1,4.2,-29.6,1.36,15.7,27.5,42.6,21.9,28.1,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1533.0,4.05,68.4,32.9,62.9,3.93,21.5,2.6,4.5,18.0,-1.12,42.8,31.2,47.0,17.1,26.1,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1685.4,0.29,40.7,38.9,79.0,-0.39,1.3,2.7,6.7,-31.0,0.77,27.8,20.9,51.1,15.6,26.3,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1039.1,4.66,19.9,28.6,30.1,1.07,35.9,2.8,7.2,-11.1,-3.4,27.2,33.5,25.8,27.8,27.2,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1405.7,4.04,68.5,13.7,61.5,2.29,37.3,0.4,1.0,3.5,-3.75,27.2,25.7,41.7,25.4,30.3,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),222.1,4.87,36.4,11.6,71.0,0.57,31.5,3.0,4.7,-24.9,-2.12,36.1,30.3,24.5,27.7,26.7,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),847.4,4.27,62.4,47.9,78.5,3.36,39.4,2.0,4.0,-27.9,0.32,40.9,22.5,42.1,29.6,33.3,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),1796.2,1.24,50.8,17.4,50.9,2.05,22.6,9.2,14.3,-10.4,-1.67,10.0,29.8,39.3,21.1,26.6,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),661.3,3.72,39.9,6.5,41.2,-1.47,28.9,0.1,0.1,-30.6,-1.17,41.6,20.6,20.4,28.2,25.9,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),2220.3,1.88,55.5,65.0,60.8,2.11,57.9,35.5,62.0,-54.7,-0.78,122.8,27.3,61.1,67.7,65.7,THUNDERSTORM_LIGHTNING
North (Delhi / Dehradun / Srinagar),304.1,8.0,31.7,30.7,87.1,0.42,14.4,14.7,33.3,1.7,-2.72,11.4,26.4,29.2,21.4,23.7,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),2167.3,2.46,37.9,13.5,94.7,0.43,9.7,0.1,0.2,-44.3,2.48,22.3,30.3,44.3,14.5,23.4,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),2163.7,0.65,34.6,19.7,74.5,1.23,27.8,4.7,5.7,-71.9,3.18,23.9,34.9,49.5,29.0,35.1,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),4375.7,-1.82,39.2,9.5,77.1,2.53,47.0,48.4,120.1,-40.0,1.24,11.2,23.3,70.9,60.2,63.4,MODERATE_RAIN_SHOWERS
South (Chennai / Bengaluru / Hyderabad / Kochi),1010.2,4.68,49.7,13.2,75.8,-1.62,36.1,7.9,12.4,-31.1,2.27,25.1,16.6,33.5,30.0,31.0,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),1301.7,1.32,49.6,7.4,51.9,3.37,4.9,0.9,1.9,-54.4,0.07,10.0,21.9,39.1,17.4,23.9,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),3178.1,-0.74,20.2,5.0,72.1,3.24,49.0,74.6,113.0,-40.9,-0.05,22.9,37.0,58.1,54.8,55.8,MODERATE_RAIN_SHOWERS
Northeast (Guwahati / Tawang / Shillong),2935.1,-0.04,34.5,21.2,35.5,-0.89,39.7,9.9,16.7,-57.2,0.56,10.0,24.8,55.4,32.1,39.1,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),2425.0,1.29,36.9,34.2,30.8,4.37,52.7,91.4,188.3,-75.2,-0.21,10.0,35.6,51.3,68.0,63.0,CLOUDBURST_FLASHFLOOD
West (Mumbai / Ahmedabad / Jaipur),1625.2,2.71,50.2,50.1,68.9,0.12,33.9,0.4,0.6,-19.3,1.36,46.6,35.7,50.1,27.3,34.1,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),3126.2,-0.07,22.4,48.7,51.8,1.75,58.0,45.1,68.8,-88.0,-2.1,64.4,29.1,62.9,71.9,69.2,THUNDERSTORM_LIGHTNING
West (Mumbai / Ahmedabad / Jaipur),4800.0,-4.72,51.9,28.8,76.2,-0.52,39.3,0.8,1.4,-54.3,1.47,18.5,23.9,88.9,30.3,47.9,MODERATE_RAIN_SHOWERS
Northeast (Guwahati / Tawang / Shillong),1903.0,1.8,26.2,26.6,50.5,2.3,8.3,0.2,0.3,-21.3,3.11,26.9,29.8,38.8,12.6,20.5,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1344.1,2.99,45.5,39.6,53.1,-0.48,20.6,1.0,1.4,-21.5,-0.97,20.3,32.3,44.6,20.9,28.0,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),2048.1,3.3,57.6,8.5,77.6,0.85,28.0,0.9,2.0,-55.9,-2.34,49.5,27.0,48.3,34.1,38.3,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),1465.6,2.23,24.8,8.4,85.5,-5.0,23.3,4.5,11.7,-23.8,2.15,26.7,19.0,34.9,21.3,25.4,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),1073.5,3.56,45.4,15.0,49.1,-0.54,38.4,2.6,6.6,6.9,0.72,14.4,20.5,34.0,20.5,24.5,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),2226.1,1.12,39.4,14.5,38.5,-0.74,52.5,62.4,118.5,-82.4,0.29,13.9,31.1,41.2,70.3,61.6,CLOUDBURST_FLASHFLOOD
Northeast (Guwahati / Tawang / Shillong),908.4,6.09,28.3,14.1,75.8,-3.66,23.2,1.1,2.4,-8.7,-1.34,18.8,19.6,28.5,20.8,23.1,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1878.5,3.04,24.9,17.6,83.1,2.19,35.9,2.7,5.6,-1.2,0.56,23.0,24.6,43.2,25.4,30.7,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),371.0,4.14,32.1,20.5,97.0,-0.35,8.5,0.4,0.5,6.1,-0.23,16.8,45.2,23.8,10.7,14.6,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),3466.0,-0.46,30.7,25.9,91.5,-3.5,35.9,2.6,6.3,-61.7,0.08,47.1,27.9,65.5,36.6,45.2,MODERATE_RAIN_SHOWERS
Central (Nagpur / Bhopal / Raipur),731.1,3.32,39.1,21.4,77.2,1.82,17.1,2.8,6.4,-18.9,0.6,42.1,33.7,30.9,17.7,21.6,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),440.8,5.43,36.0,13.9,93.2,2.9,32.5,9.7,14.8,-4.7,-1.25,26.7,31.4,26.2,23.7,24.5,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),2873.9,1.89,47.9,11.4,93.9,0.2,52.5,19.6,50.2,-59.9,-1.85,10.3,22.7,58.1,51.8,53.7,MODERATE_RAIN_SHOWERS
Northeast (Guwahati / Tawang / Shillong),3203.4,-2.75,53.3,24.2,49.0,-2.82,53.4,47.2,81.6,-80.4,-2.92,23.5,31.7,65.4,67.7,67.1,CLOUDBURST_FLASHFLOOD
West (Mumbai / Ahmedabad / Jaipur),1603.8,1.58,20.6,42.7,71.0,-3.64,18.0,10.2,17.9,-15.5,-1.36,47.6,36.0,40.4,21.3,27.0,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),1217.8,3.75,38.5,18.2,97.1,-2.19,2.2,0.2,0.4,11.7,-0.96,10.0,23.5,35.4,3.4,13.0,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),1027.5,3.47,28.7,14.8,74.7,-1.33,28.0,7.0,14.8,0.1,1.12,10.5,20.0,27.9,16.1,19.6,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),1547.6,3.16,26.8,18.3,65.4,4.26,9.7,0.3,0.6,-22.5,1.49,12.5,34.0,31.1,11.0,17.0,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1264.7,3.37,20.0,24.6,91.5,0.05,40.5,3.4,4.2,-31.6,-6.14,37.7,22.1,35.1,42.6,40.4,MODERATE_RAIN_SHOWERS
North (Delhi / Dehradun / Srinagar),1161.5,1.66,19.0,11.2,34.4,-2.3,30.2,0.4,0.6,-22.6,-0.38,24.0,31.3,23.4,22.0,22.4,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),672.4,5.4,34.7,7.9,66.8,-0.85,32.0,6.3,7.6,-20.4,0.47,57.4,30.3,25.9,27.8,27.2,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),529.1,3.34,47.5,11.1,73.2,2.86,20.9,0.0,0.0,-36.3,-0.87,18.9,27.5,28.8,20.0,22.7,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1378.8,3.49,47.5,18.9,85.2,1.72,23.8,1.9,4.6,-13.8,-0.45,16.2,31.5,42.2,18.1,25.3,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1516.9,2.42,27.3,13.4,71.1,0.6,0.0,3.0,4.7,-16.7,-0.07,11.8,31.2,35.1,3.7,13.1,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),763.4,7.35,25.8,11.4,69.2,0.13,28.3,1.3,1.8,-41.2,-0.92,45.4,29.3,20.1,27.8,25.5,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),846.9,4.16,45.3,15.8,66.1,0.51,11.4,2.8,7.0,-42.7,0.08,17.6,26.1,29.5,16.8,20.6,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),1514.5,3.39,36.0,43.2,57.5,0.84,27.5,8.4,12.7,-6.7,-3.55,37.1,24.1,44.4,28.8,33.5,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),658.7,5.35,54.5,17.1,32.7,0.07,11.9,3.8,7.0,-8.3,-1.98,60.8,28.0,26.1,15.0,18.3,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),2482.7,1.44,26.4,9.7,72.8,0.72,50.1,29.9,50.0,-87.8,-0.9,10.0,29.7,50.2,55.1,53.6,MODERATE_RAIN_SHOWERS
North (Delhi / Dehradun / Srinagar),1831.2,2.31,16.0,42.3,58.0,-0.16,26.0,15.8,20.9,-30.9,-1.5,155.0,31.2,42.8,40.8,41.4,MODERATE_RAIN_SHOWERS
West (Mumbai / Ahmedabad / Jaipur),758.0,3.3,50.6,33.6,35.1,-1.38,9.5,2.0,3.0,-0.8,-2.12,19.7,25.6,36.0,9.8,17.7,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1772.3,2.32,15.5,22.2,79.4,-0.08,38.9,8.5,17.8,-30.9,0.9,24.6,33.2,39.7,30.6,33.4,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),671.4,2.42,21.8,42.4,67.5,1.23,21.8,4.2,5.5,-1.8,-2.06,52.5,24.9,34.9,19.4,24.0,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),2169.9,2.25,32.6,25.6,66.2,-1.1,14.3,6.0,7.5,-62.0,3.16,23.9,25.5,45.8,24.8,31.1,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),692.1,8.0,38.0,25.8,64.3,1.43,35.4,1.5,2.1,1.4,-1.85,23.4,41.2,29.2,25.2,26.4,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),1201.5,3.81,50.4,19.2,57.7,2.33,17.9,3.8,6.1,-37.9,-1.05,10.0,31.9,33.3,26.7,28.7,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),1434.9,3.54,27.8,39.5,45.0,1.25,22.1,7.5,16.6,-30.0,-2.28,56.2,33.4,41.9,26.9,31.4,NORMAL_STABLE
Central (Nagpur / Bhopal / Raipur),3174.0,-2.21,60.4,8.4,76.4,-0.74,52.1,140.0,240.0,-73.8,-2.59,26.2,38.9,64.2,73.1,70.4,CLOUDBURST_FLASHFLOOD
South (Chennai / Bengaluru / Hyderabad / Kochi),726.8,3.57,20.8,33.9,80.3,0.71,28.4,4.5,8.6,-13.4,0.43,30.7,34.4,33.4,22.8,26.0,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),704.2,5.67,36.8,65.0,79.5,0.84,30.8,2.9,4.9,-12.1,-2.5,42.6,33.3,37.4,27.1,30.2,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),391.9,3.48,53.6,39.3,77.8,0.94,22.8,0.5,1.3,-33.5,-0.17,35.9,29.6,32.7,22.4,25.5,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),3747.1,-2.37,54.4,31.6,71.4,3.78,63.4,65.7,82.8,-53.2,1.32,10.0,25.8,73.3,66.5,68.6,CLOUDBURST_FLASHFLOOD
North (Delhi / Dehradun / Srinagar),1331.0,4.02,12.0,12.6,41.9,-2.05,20.4,4.7,9.6,-4.0,-2.62,20.3,27.5,27.2,18.4,21.1,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),2519.7,1.93,79.9,57.9,87.9,0.96,52.8,32.1,81.5,-56.4,-3.74,79.5,31.3,68.0,67.5,67.7,CLOUDBURST_FLASHFLOOD
South (Chennai / Bengaluru / Hyderabad / Kochi),858.0,4.15,37.5,11.9,74.4,-0.38,31.4,2.1,4.1,-23.3,2.6,27.8,30.0,30.9,23.8,25.9,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),917.5,4.31,45.9,21.0,81.9,-2.24,30.5,4.4,9.8,-9.0,-3.31,21.2,27.4,33.7,25.0,27.6,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),1259.9,3.62,37.3,21.8,73.0,-2.27,7.6,4.8,6.8,-19.4,0.59,15.4,26.5,36.3,5.5,14.8,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),1285.4,1.95,71.9,5.0,56.9,2.43,28.2,1.9,3.9,-13.9,-3.17,25.6,23.0,43.8,23.4,29.5,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),2001.7,1.91,60.1,25.3,63.0,-2.59,0.0,1.5,2.4,-63.5,0.23,15.5,33.4,52.5,16.2,27.1,NORMAL_STABLE
West (Mumbai / Ahmedabad / Jaipur),1357.0,3.58,71.5,12.9,59.7,1.16,47.5,19.2,42.2,-29.9,1.0,15.8,26.8,36.6,38.8,38.1,NORMAL_STABLE
South (Chennai / Bengaluru / Hyderabad / Kochi),998.5,3.9,48.6,5.0,90.6,0.79,17.7,14.9,21.7,18.0,-1.57,12.7,41.2,31.5,17.6,21.8,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),3789.5,-3.89,54.8,34.2,80.9,-1.39,67.9,32.3,64.7,-50.8,-3.47,10.0,13.4,81.1,65.6,70.2,THUNDERSTORM_LIGHTNING
North (Delhi / Dehradun / Srinagar),665.3,6.51,27.4,18.9,39.3,2.34,32.2,13.0,24.9,-25.7,-2.0,32.6,34.2,23.1,33.3,30.3,NORMAL_STABLE
North (Delhi / Dehradun / Srinagar),729.8,3.23,38.3,7.7,42.3,-2.1,29.1,3.5,7.8,-34.9,-1.82,37.6,20.7,20.5,28.1,25.8,NORMAL_STABLE
East (Kolkata / Bhubaneswar / Patna),672.7,4.74,54.8,34.0,86.9,-0.71,7.2,0.1,0.1,-19.0,-1.87,10.0,29.7,36.8,16.3,22.4,NORMAL_STABLE
Northeast (Guwahati / Tawang / Shillong),2050.7,2.28,46.5,11.0,53.8,-1.9,24.5,0.5,1.1,-71.5,-7.11,48.3,21.4,42.5,42.4,42.4,MODERATE_RAIN_SHOWERS
East (Kolkata / Bhubaneswar / Patna),1737.7,1.98,43.5,11.9,56.5,2.18,28.7,1.0,2.5,-32.8,-3.16,30.8,30.8,40.0,28.7,32.1,NORMAL_STABLE
