state,slope_angle,elevation_m,soil_type,fault_dist_km,ndvi,road_cut_idx,rainfall_24h_mm,rainfall_72h_mm,soil_sat_pct,pwp_kpa,tilt_rate_deg_day,pga_seismic_g,layer1_susceptibility,layer2_dynamic_trigger,composite_risk_score,landslide_event
Arunachal Pradesh,24.87,3393.5,1,3.22,0.713,69.5,88.9,160.0,92.0,117.6,0.09,0.006,37.2,59.1,51.4,0
Sikkim,32.89,2592.6,1,5.14,0.612,50.0,69.5,151.8,75.3,123.2,0.022,0.021,39.2,47.3,44.5,0
Meghalaya,40.16,1351.2,3,2.4,0.459,14.5,79.3,221.5,81.1,115.9,0.286,0.074,61.7,58.3,59.5,1
Meghalaya,32.96,1033.6,2,4.69,0.738,10.2,110.7,245.9,84.9,111.8,0.348,0.014,61.6,70.0,67.1,1
Sikkim,38.22,1626.0,2,1.34,0.771,90.5,16.4,36.4,22.1,38.2,0.019,0.015,78.7,12.4,35.6,0
Mizoram,26.98,1961.5,2,2.57,0.781,38.3,12.0,19.5,27.3,41.8,0.007,0.018,61.2,12.1,29.3,0
Arunachal Pradesh,44.88,3400.6,1,1.06,0.594,69.6,76.2,140.0,61.9,88.2,0.045,0.057,61.3,46.3,51.5,0
Sikkim,36.95,3287.3,1,0.18,0.757,45.6,35.3,58.7,38.5,55.5,0.178,0.045,51.9,24.7,34.2,0
Sikkim,43.12,2755.1,2,4.0,0.808,73.1,22.4,60.5,28.4,35.3,0.114,0.017,80.1,21.4,42.0,0
Meghalaya,26.31,1064.1,3,8.99,0.586,19.3,4.1,8.5,16.2,24.2,0.032,0.01,48.9,9.0,23.0,0
Nagaland,46.74,1511.1,2,0.12,0.557,48.5,57.0,108.4,41.1,67.3,0.029,0.02,82.9,33.6,50.9,0
Arunachal Pradesh,49.63,3485.9,2,0.98,0.667,37.7,57.8,140.2,69.6,117.8,0.041,0.004,83.1,42.1,56.4,0
Meghalaya,32.88,1729.3,3,2.77,0.694,24.5,84.7,159.7,74.6,126.7,0.044,0.029,53.7,52.4,52.9,1
Mizoram,34.37,1500.4,2,4.93,0.566,59.8,140.5,367.4,99.0,168.9,0.955,0.004,72.8,86.3,81.6,1
Arunachal Pradesh,32.97,3914.1,3,0.85,0.774,53.7,67.7,158.8,82.7,141.3,1.332,0.02,61.9,58.9,59.9,1
Mizoram,36.8,1007.3,3,0.26,0.669,49.6,73.6,107.6,60.9,90.2,0.011,0.006,65.9,40.7,49.6,0
Arunachal Pradesh,19.69,3515.0,1,3.29,0.658,59.1,0.2,0.4,10.4,15.1,0.002,0.066,32.4,3.7,13.7,0
Arunachal Pradesh,52.05,3974.9,2,7.68,0.169,14.3,172.7,440.5,99.0,125.4,0.096,0.02,74.9,84.6,81.2,1
Assam,23.74,734.9,3,0.16,0.598,37.1,208.6,566.8,99.0,136.1,1.194,0.05,59.9,94.4,82.3,1
Assam,14.01,101.2,3,1.93,0.587,32.5,111.9,204.1,82.5,110.2,0.072,0.04,43.4,59.1,53.6,1
Nagaland,43.36,968.2,1,4.9,0.52,76.9,254.1,459.6,99.0,155.1,0.169,0.024,54.1,88.6,76.5,1
Sikkim,54.93,2627.1,1,0.63,0.785,3.6,42.6,92.2,44.6,62.2,0.012,0.018,51.9,29.3,37.3,0
Arunachal Pradesh,41.34,3472.8,2,1.21,0.679,28.2,6.5,9.2,20.7,31.5,0.009,0.049,70.9,13.5,33.6,0
Mizoram,26.42,1068.8,2,3.45,0.717,91.8,75.7,137.3,67.1,95.8,0.015,0.015,69.5,43.9,52.9,1
Meghalaya,32.29,1976.0,2,13.78,0.673,30.0,36.7,90.9,53.8,93.3,0.039,0.033,56.4,33.5,41.5,0
Arunachal Pradesh,42.57,1817.4,2,1.52,0.609,15.2,108.0,281.8,99.0,144.0,0.252,0.003,74.1,74.2,74.1,1
Meghalaya,34.14,2186.3,3,3.01,0.686,75.7,12.1,23.6,39.8,67.7,0.048,0.014,64.1,18.7,34.6,0
Arunachal Pradesh,29.51,3066.6,2,2.3,0.535,4.8,32.9,88.3,52.7,64.6,0.085,0.012,66.2,28.4,41.6,0
Manipur,23.11,913.6,3,10.25,0.705,42.6,159.1,285.7,99.0,120.7,0.071,0.01,36.9,79.9,64.8,1
Sikkim,47.8,2007.3,1,0.34,0.69,85.5,94.3,137.1,94.0,154.0,0.579,0.005,63.4,59.2,60.7,0
Mizoram,23.48,1674.7,1,3.76,0.521,95.4,41.1,67.0,32.2,52.3,0.133,0.003,43.4,24.4,31.1,0
Sikkim,28.53,2345.6,2,8.42,0.442,24.9,24.1,63.1,51.8,62.8,0.008,0.044,60.9,24.4,37.2,1
Meghalaya,27.58,1050.4,1,19.95,0.704,29.6,45.0,124.0,62.5,93.3,0.075,0.015,25.9,36.7,32.9,0
Meghalaya,30.5,1143.4,2,5.4,0.584,56.7,30.9,69.6,64.4,79.2,0.112,0.083,67.1,32.1,44.4,0
Arunachal Pradesh,45.12,2710.7,3,2.15,0.728,22.7,47.5,115.0,50.1,65.1,0.002,0.002,64.5,32.8,43.9,0
Assam,26.84,974.1,1,2.39,0.596,15.1,42.3,108.5,58.9,104.7,0.022,0.032,40.6,33.3,35.9,0
Nagaland,26.14,1413.2,3,1.95,0.768,42.6,173.2,288.7,99.0,139.0,0.129,0.002,48.9,86.1,73.1,0
Assam,21.2,241.5,2,4.16,0.602,7.2,43.8,95.1,64.5,95.6,0.124,0.001,57.4,36.9,44.1,0
Manipur,26.57,721.6,1,6.05,0.725,89.4,52.9,143.4,63.5,102.2,0.02,0.007,33.8,40.0,37.9,0
Mizoram,47.25,2045.6,2,7.7,0.527,33.4,100.3,190.4,88.8,155.6,0.21,0.049,76.3,66.3,69.8,1
Assam,21.17,496.4,3,2.42,0.472,33.6,109.9,306.2,99.0,127.6,0.026,0.057,49.0,71.6,63.7,1
Arunachal Pradesh,40.12,2819.2,2,5.68,0.37,79.1,139.7,333.7,99.0,132.3,1.438,0.006,73.0,84.1,80.2,1
Arunachal Pradesh,41.39,3128.7,2,11.16,0.614,34.2,159.8,374.0,99.0,152.0,1.066,0.016,67.2,88.6,81.1,1
Arunachal Pradesh,35.3,2381.9,3,11.41,0.573,76.1,128.7,185.5,67.3,107.5,0.045,0.002,56.0,57.2,56.8,1
Sikkim,38.99,3182.9,3,5.48,0.663,18.1,144.6,204.5,79.3,115.9,0.0,0.045,51.6,69.6,63.3,1
Sikkim,21.29,2683.4,1,4.56,0.721,52.9,74.9,121.5,60.5,96.4,0.018,0.002,31.0,42.4,38.4,1
Sikkim,33.01,2209.3,3,3.41,0.706,76.9,26.4,71.4,49.7,59.9,0.005,0.003,61.5,24.2,37.3,0
Nagaland,35.52,1520.4,2,0.91,0.708,45.0,14.7,36.9,23.1,30.4,0.015,0.006,69.1,6.1,28.1,0
Sikkim,30.43,2040.4,3,0.59,0.51,7.2,70.4,149.4,75.0,127.7,0.068,0.006,57.3,51.1,53.2,0
Sikkim,45.33,1695.0,2,2.99,0.709,73.7,86.0,179.6,95.1,157.2,0.468,0.011,78.3,62.9,68.3,1
Meghalaya,20.14,1006.4,1,0.78,0.718,49.4,28.5,45.0,44.9,70.9,0.014,0.002,39.1,24.3,29.5,0
Arunachal Pradesh,44.97,3434.1,2,3.87,0.589,31.6,194.0,376.6,99.0,151.4,0.613,0.008,73.0,95.4,87.6,1
Nagaland,37.72,1737.1,2,4.67,0.771,99.3,91.8,147.8,68.9,90.9,0.023,0.029,71.0,46.0,54.8,0
Arunachal Pradesh,56.72,1603.6,2,3.36,0.425,87.6,55.6,99.1,37.2,50.7,0.013,0.01,89.5,25.8,48.1,0
Tripura,17.86,659.3,3,0.17,0.73,3.8,7.7,10.8,33.0,58.6,0.006,0.038,43.1,15.9,25.4,0
Nagaland,32.01,1300.5,3,0.27,0.556,59.4,186.3,360.5,99.0,118.9,0.041,0.007,63.0,95.5,84.1,1
Arunachal Pradesh,51.03,2249.1,2,0.54,0.535,35.5,126.5,296.0,89.7,131.3,0.125,0.012,84.5,75.1,78.4,1
Arunachal Pradesh,49.71,3851.6,2,0.75,0.468,3.7,47.7,112.7,45.1,54.5,0.016,0.01,77.6,37.8,51.8,0
Nagaland,39.14,1279.3,2,20.67,0.67,1.1,89.2,176.9,70.0,98.4,0.003,0.016,60.2,51.2,54.4,0
Mizoram,34.39,2036.0,2,1.9,0.756,58.4,86.1,208.4,72.5,101.1,0.062,0.075,75.3,56.5,63.1,1
Nagaland,42.5,1538.9,3,1.55,0.423,32.0,11.6,23.0,16.9,21.4,0.012,0.002,68.0,5.9,27.7,0
Nagaland,50.49,1849.0,2,0.24,0.638,70.3,28.4,75.7,60.7,75.4,0.052,0.107,87.7,33.7,52.6,1
Arunachal Pradesh,43.08,4104.7,2,4.54,0.607,45.4,230.3,424.5,99.0,169.4,5.143,0.005,72.2,100.0,90.3,1
Sikkim,38.42,3160.2,2,4.75,0.477,76.6,13.3,29.8,30.6,42.7,0.018,0.004,72.0,16.4,35.9,0
Arunachal Pradesh,44.14,2802.5,2,0.87,0.729,81.3,173.4,267.5,99.0,152.0,0.142,0.024,85.6,88.7,87.6,1
Manipur,21.08,772.5,2,11.32,0.673,65.7,107.9,226.5,99.0,163.8,0.905,0.031,49.9,68.1,61.7,1
Mizoram,30.09,1236.4,2,7.25,0.55,41.8,144.9,279.6,99.0,150.8,0.423,0.01,61.2,80.6,73.9,1
Sikkim,45.37,1695.4,1,1.18,0.765,98.8,140.7,247.5,89.6,131.0,0.061,0.027,58.2,73.6,68.2,1
Arunachal Pradesh,33.77,3879.0,1,2.99,0.821,30.7,6.9,12.8,35.3,52.7,0.019,0.011,41.6,9.9,21.0,0
Sikkim,42.9,4027.2,2,2.76,0.613,51.5,171.9,317.3,99.0,168.4,0.318,0.025,79.6,91.1,87.1,1
Sikkim,25.18,3330.9,2,1.93,0.728,52.0,32.8,68.1,19.8,30.0,0.022,0.033,71.4,19.3,37.5,0
Nagaland,43.95,1281.6,1,7.66,0.754,42.8,52.2,134.6,63.5,83.2,0.246,0.023,47.2,39.5,42.2,0
Mizoram,26.6,1188.2,3,0.52,0.576,12.1,67.3,140.2,51.8,67.9,0.034,0.009,51.2,40.1,44.0,0
Manipur,11.98,144.2,2,2.42,0.743,35.4,127.8,216.1,96.8,145.3,0.378,0.002,52.3,69.5,63.5,1
Meghalaya,41.36,843.5,3,2.51,0.633,21.5,72.2,108.1,56.3,74.4,0.022,0.01,64.7,43.1,50.7,0
Arunachal Pradesh,51.16,2950.9,1,2.85,0.69,90.0,16.2,30.7,30.3,50.8,0.092,0.007,62.0,16.4,32.4,0
Mizoram,34.24,1977.1,1,8.89,0.692,65.5,209.4,339.2,99.0,170.7,0.296,0.034,35.1,91.1,71.5,1
Nagaland,31.33,1131.9,2,1.11,0.713,28.8,38.4,98.6,50.8,65.9,0.035,0.036,67.0,34.6,45.9,0
Meghalaya,29.67,1426.2,1,0.49,0.381,56.6,51.9,145.1,64.4,94.3,0.096,0.007,50.0,36.2,41.0,0
Nagaland,33.85,1575.7,3,4.33,0.408,85.3,132.4,342.7,99.0,163.4,1.251,0.014,62.8,86.1,77.9,1
Meghalaya,31.72,2103.2,1,0.86,0.731,93.4,74.8,145.1,54.4,68.0,0.018,0.009,52.5,40.7,44.8,0
Meghalaya,30.86,2107.2,2,0.35,0.69,7.5,101.2,153.2,82.2,128.0,0.119,0.07,61.7,60.1,60.6,0
Meghalaya,25.9,1559.3,3,2.5,0.597,78.7,26.8,64.2,40.1,61.4,0.033,0.019,54.5,19.4,31.7,0
Arunachal Pradesh,28.28,1502.1,2,1.12,0.547,96.6,22.4,52.3,49.7,82.7,0.078,0.04,69.8,28.0,42.7,0
Arunachal Pradesh,38.74,3687.4,1,2.02,0.723,46.7,12.5,18.6,35.5,62.8,0.012,0.015,50.9,13.2,26.4,0
Arunachal Pradesh,39.98,3969.5,2,1.35,0.398,99.6,75.7,189.5,75.0,111.9,0.008,0.005,83.9,52.7,63.6,1
Mizoram,26.97,1092.1,2,0.44,0.679,95.7,153.5,392.2,99.0,135.5,1.016,0.008,69.4,86.2,80.3,1
Sikkim,33.0,3130.1,1,3.7,0.499,65.7,9.8,23.5,18.1,22.3,0.017,0.016,40.0,9.6,20.2,0
Meghalaya,33.61,1029.5,2,0.12,0.727,84.8,27.5,66.6,35.4,59.9,0.014,0.011,76.0,17.5,38.0,1
Manipur,14.63,517.1,3,15.27,0.502,29.7,66.2,156.6,50.8,66.4,0.094,0.033,36.9,43.2,41.0,0
Sikkim,47.03,3118.5,3,1.88,0.788,91.7,116.4,234.0,99.0,169.5,1.186,0.002,74.9,76.5,75.9,1
Sikkim,42.54,2317.1,1,5.35,0.432,59.2,75.9,171.8,87.2,136.8,0.257,0.006,48.0,52.3,50.8,1
Nagaland,26.91,1727.3,1,7.48,0.806,51.0,157.5,356.5,99.0,128.9,2.329,0.058,33.1,95.7,73.8,0
Sikkim,42.08,1846.1,2,1.47,0.842,83.6,109.0,234.7,94.1,139.9,0.059,0.021,81.4,71.3,74.9,1
Arunachal Pradesh,30.58,2648.5,2,6.22,0.677,88.9,2.8,6.4,26.8,42.4,0.136,0.032,61.2,12.0,29.2,0
Sikkim,44.99,2207.5,2,8.04,0.613,70.1,26.5,52.0,39.8,62.3,0.008,0.103,73.4,24.4,41.5,1
Arunachal Pradesh,30.89,3880.6,3,1.24,0.67,2.5,14.5,34.1,21.9,26.5,0.12,0.026,52.6,13.2,27.0,0
Assam,19.31,652.5,3,22.01,0.509,59.7,118.5,203.6,91.9,142.7,0.007,0.0,38.5,66.9,57.0,0
Nagaland,33.03,922.8,1,0.1,0.736,82.2,14.5,37.6,47.5,83.0,0.029,0.006,56.2,19.7,32.5,0
Mizoram,42.71,1723.2,2,1.1,0.782,54.5,21.0,54.5,53.2,84.0,0.143,0.024,72.0,28.3,43.6,0
Manipur,15.33,662.2,1,6.81,0.723,93.5,98.7,206.9,89.5,137.9,2.71,0.04,27.5,71.2,55.9,0
Nagaland,26.29,944.1,2,0.97,0.683,89.7,34.7,72.7,46.1,76.2,0.012,0.057,73.6,29.1,44.7,0
Arunachal Pradesh,25.63,3441.4,1,5.39,0.755,53.0,102.8,201.4,68.6,103.8,0.084,0.001,25.8,58.3,47.0,1
Manipur,31.21,324.0,1,8.71,0.522,40.4,48.7,71.3,32.6,53.6,0.038,0.001,38.8,24.5,29.5,0
Meghalaya,32.24,1254.2,2,14.4,0.52,5.5,3.7,5.9,17.4,22.7,0.038,0.02,56.6,8.5,25.3,1
Nagaland,39.63,2056.2,2,2.89,0.55,63.3,25.7,61.6,55.5,97.3,0.045,0.022,72.7,29.1,44.3,0
Manipur,16.57,566.4,1,15.95,0.665,26.6,8.7,14.0,25.1,36.6,0.001,0.012,17.3,8.4,11.5,0
Sikkim,33.88,3873.9,3,2.39,0.463,66.8,3.0,6.0,8.0,11.5,0.005,0.06,65.7,4.5,25.9,0
Arunachal Pradesh,37.61,1535.1,2,1.11,0.642,79.9,21.1,39.9,22.7,37.3,0.001,0.043,74.6,15.9,36.4,0
Sikkim,37.86,2423.2,1,3.25,0.785,40.9,107.6,183.7,91.2,141.5,2.075,0.011,40.7,75.2,63.1,0
Meghalaya,36.78,2093.9,1,4.72,0.573,1.6,5.6,12.1,21.6,29.1,0.026,0.016,38.0,8.0,18.5,0
Nagaland,32.45,1568.5,2,2.76,0.66,86.5,0.3,0.6,7.8,10.7,0.167,0.034,76.6,6.9,31.3,0
Manipur,17.77,297.4,3,3.77,0.678,54.9,123.1,303.1,99.0,156.7,1.078,0.019,52.4,80.1,70.4,1
Arunachal Pradesh,54.08,3463.3,2,2.42,0.675,31.5,103.6,237.7,91.3,131.0,1.041,0.004,84.0,70.7,75.3,1
Meghalaya,25.81,801.0,3,3.35,0.475,63.4,36.8,76.3,37.6,54.5,0.017,0.007,55.9,23.0,34.5,0
Sikkim,31.43,1602.1,2,13.72,0.533,67.4,191.2,421.8,99.0,158.9,0.775,0.006,62.2,93.0,82.2,1
Sikkim,30.6,1832.2,2,3.12,0.67,14.7,150.9,302.4,99.0,155.5,2.243,0.011,63.2,90.4,80.9,1
Arunachal Pradesh,44.16,2193.8,2,1.31,0.544,64.6,139.1,347.4,99.0,128.8,1.442,0.025,79.3,81.4,80.7,0
Sikkim,41.81,1556.5,2,6.4,0.603,28.7,66.2,181.8,68.5,118.4,0.063,0.013,64.6,48.5,54.1,0
Assam,19.05,306.9,2,1.85,0.611,80.4,42.6,105.3,32.6,45.6,0.087,0.06,62.9,23.6,37.4,0
Sikkim,30.2,2893.1,3,7.62,0.624,94.2,52.5,136.8,65.3,104.6,0.08,0.046,51.2,46.6,48.2,0
Meghalaya,33.0,1296.2,1,0.26,0.777,10.3,189.5,473.2,99.0,173.7,0.193,0.023,38.8,91.9,73.3,1
Mizoram,38.1,1333.6,2,1.82,0.701,91.7,19.8,38.9,37.1,54.4,0.024,0.001,81.8,21.8,42.8,0
Sikkim,51.43,2719.4,2,0.45,0.621,90.3,15.1,39.2,42.4,63.3,0.021,0.008,90.0,16.2,42.0,0
Tripura,16.33,871.1,2,0.4,0.45,34.3,160.7,233.5,99.0,158.9,0.408,0.035,64.1,80.3,74.6,0
Assam,19.03,604.6,2,4.83,0.363,2.9,108.5,286.4,99.0,138.3,1.648,0.004,52.9,76.5,68.2,1
Sikkim,41.73,1756.7,2,2.19,0.784,66.3,38.7,79.7,50.9,71.8,0.032,0.044,72.2,27.6,43.2,0
Meghalaya,29.33,1088.7,2,9.23,0.687,34.5,39.9,74.2,42.8,66.5,0.018,0.021,53.1,25.3,35.0,0
Sikkim,26.78,3866.7,2,3.27,0.574,19.2,51.8,110.5,51.9,72.0,0.015,0.022,60.0,38.3,45.9,1
Sikkim,36.67,3135.4,3,1.58,0.783,10.9,202.1,477.6,99.0,137.4,0.033,0.003,58.1,92.7,80.6,1
Arunachal Pradesh,27.71,3368.0,3,5.74,0.662,19.6,116.6,263.6,99.0,166.4,0.299,0.019,46.6,73.9,64.4,0
Mizoram,38.75,1595.6,2,4.4,0.833,23.7,8.4,19.1,25.2,30.8,0.015,0.038,66.6,12.7,31.5,0
Meghalaya,29.86,1415.3,3,7.23,0.474,79.6,1.2,1.8,20.4,24.8,0.018,0.012,55.4,4.4,22.3,0
Arunachal Pradesh,37.48,3716.0,3,4.64,0.573,78.4,9.9,23.9,31.5,43.4,0.021,0.001,67.3,16.4,34.2,0
Sikkim,31.64,3159.3,2,0.82,0.779,49.4,107.4,257.4,99.0,159.8,0.917,0.014,71.7,69.0,70.0,1
Manipur,19.86,206.6,1,4.99,0.727,55.3,37.7,58.9,33.0,45.6,0.008,0.028,34.0,24.1,27.6,0
Sikkim,48.87,1536.8,2,2.24,0.642,91.8,85.0,124.1,46.5,73.3,0.011,0.012,82.7,43.3,57.1,0
Arunachal Pradesh,47.21,3633.7,2,2.8,0.743,90.8,12.0,33.3,18.9,25.9,0.042,0.009,82.0,13.6,37.6,1
Meghalaya,24.47,1214.1,3,11.45,0.682,82.9,55.7,136.1,60.4,73.6,0.028,0.034,47.4,37.4,40.9,0
Tripura,5.0,469.5,3,2.01,0.651,37.4,59.2,133.1,68.7,112.4,0.001,0.005,37.2,44.9,42.2,0
Sikkim,36.73,2124.6,3,4.26,0.609,36.7,74.6,137.5,63.8,97.3,0.173,0.001,56.5,47.3,50.5,0
Mizoram,29.91,877.5,2,2.03,0.506,88.8,192.0,343.0,99.0,157.1,0.063,0.055,76.4,90.8,85.8,1
Nagaland,29.49,1077.4,2,0.45,0.403,92.7,71.0,112.8,55.8,72.9,0.03,0.014,70.8,41.5,51.7,0
Sikkim,33.31,2466.2,2,2.72,0.779,79.8,123.3,277.7,95.7,150.3,0.214,0.005,71.1,72.7,72.1,1
Nagaland,24.32,811.8,1,4.09,0.749,75.7,142.0,313.3,99.0,166.9,0.576,0.066,36.8,90.2,71.5,1
Sikkim,57.48,3265.2,2,2.36,0.587,55.8,140.3,380.3,99.0,127.1,0.286,0.063,90.0,86.6,87.8,1
Mizoram,45.07,1341.9,1,2.23,0.652,33.8,166.4,379.1,99.0,135.6,0.43,0.035,58.8,88.9,78.3,1
Mizoram,29.2,875.7,2,7.73,0.725,24.1,5.4,11.0,45.5,76.2,0.004,0.02,59.2,17.3,32.0,0
Meghalaya,32.9,1440.1,2,0.14,0.794,14.0,115.1,305.8,99.0,157.0,0.123,0.022,68.8,78.4,75.0,0
Arunachal Pradesh,46.36,1782.6,3,1.58,0.628,72.8,248.7,562.0,99.0,130.0,0.232,0.029,73.5,92.6,85.9,1
Nagaland,32.88,1951.7,1,7.52,0.412,77.7,31.2,74.8,41.6,56.7,0.054,0.0,39.7,22.6,28.5,0
Sikkim,33.95,2354.8,3,11.4,0.501,35.9,144.7,329.6,99.0,172.6,0.874,0.011,52.9,85.3,74.0,0
Arunachal Pradesh,26.91,2580.4,3,2.39,0.514,0.6,65.4,107.1,45.8,65.4,0.162,0.011,49.4,34.5,39.7,0
Arunachal Pradesh,38.1,3664.4,3,9.88,0.48,93.9,53.6,84.3,46.7,58.6,0.016,0.015,58.2,31.4,40.8,0
Mizoram,23.62,1418.1,3,1.0,0.582,43.7,39.1,89.0,49.9,79.7,0.02,0.007,53.0,32.3,39.6,0
Mizoram,40.4,1788.5,2,1.13,0.598,97.5,23.5,63.0,31.7,45.7,0.039,0.004,80.9,21.7,42.5,0
Arunachal Pradesh,37.73,2824.2,2,8.42,0.523,67.7,149.3,410.5,99.0,162.2,0.28,0.002,71.7,88.5,82.6,1
Meghalaya,35.65,1607.8,3,10.51,0.594,12.4,9.9,27.6,26.3,33.4,0.039,0.004,47.1,12.0,24.3,0
Sikkim,35.21,2097.1,3,1.13,0.565,32.7,73.0,188.5,73.5,101.7,0.009,0.023,61.6,50.3,54.2,0
Mizoram,37.81,861.8,2,0.28,0.718,65.7,20.6,39.4,39.5,56.7,0.026,0.014,76.2,19.1,39.1,0
Arunachal Pradesh,32.63,4178.6,3,0.43,0.639,64.9,63.0,142.2,50.1,77.4,0.013,0.053,62.5,41.9,49.1,0
Mizoram,34.04,1352.7,2,1.36,0.68,23.2,8.0,18.1,12.0,15.7,0.004,0.005,66.8,6.4,27.5,0
Sikkim,34.91,2829.0,1,6.45,0.568,17.7,21.0,45.3,14.2,19.7,0.014,0.011,40.5,14.9,23.9,0
Assam,18.67,583.7,2,3.21,0.571,27.7,131.5,320.6,99.0,164.3,0.429,0.006,57.2,82.1,73.4,1
Arunachal Pradesh,46.24,1633.1,2,2.74,0.739,78.7,36.7,60.1,65.4,85.9,0.024,0.002,75.5,33.2,48.0,0
Sikkim,31.57,1807.2,2,3.95,0.446,24.2,30.4,50.6,54.9,78.3,0.117,0.001,63.1,25.3,38.5,0
Arunachal Pradesh,41.06,2609.6,1,9.94,0.373,70.2,62.8,170.9,69.4,99.5,0.049,0.027,41.2,47.2,45.1,0
Assam,28.0,260.6,2,0.43,0.566,87.0,24.3,62.6,35.8,47.5,0.023,0.083,72.9,24.4,41.4,0
Manipur,25.57,171.6,3,5.34,0.786,39.2,30.6,77.8,39.6,68.3,0.158,0.013,48.6,24.7,33.1,0
Sikkim,32.86,3718.9,2,11.76,0.456,0.7,37.0,76.8,39.0,58.8,0.103,0.0,54.0,27.3,36.6,0
Mizoram,35.48,1877.0,1,1.08,0.787,14.2,207.2,454.7,99.0,141.7,0.141,0.042,41.4,90.1,73.0,1
Nagaland,20.14,1167.5,2,8.18,0.561,31.2,73.7,167.5,78.4,130.7,0.077,0.003,45.8,53.8,51.0,0
Meghalaya,39.05,970.6,2,5.39,0.472,19.0,1.8,3.3,12.8,15.6,0.055,0.003,72.5,1.6,26.4,0
Meghalaya,50.47,1303.1,2,0.1,0.446,29.0,68.9,124.9,60.4,108.6,0.033,0.002,82.8,40.7,55.5,1
Sikkim,40.57,2783.5,2,1.19,0.766,54.4,111.1,183.5,99.0,175.9,0.005,0.001,77.4,69.5,72.3,1
Arunachal Pradesh,49.81,3933.4,3,4.19,0.577,2.1,11.8,25.8,30.2,37.9,0.042,0.025,62.9,15.8,32.3,0
Manipur,11.93,247.5,1,3.14,0.737,6.4,176.2,287.0,99.0,171.6,0.705,0.005,22.2,87.8,64.8,1
Manipur,13.98,662.4,2,3.38,0.801,85.6,14.2,23.9,32.9,45.6,0.011,0.007,60.8,14.7,30.8,0
Mizoram,29.68,1820.4,3,1.19,0.544,52.2,17.4,46.3,43.9,55.4,0.052,0.012,65.0,21.8,36.9,0
Sikkim,36.66,4065.6,3,5.06,0.777,93.6,2.9,6.3,11.3,17.4,0.022,0.007,64.3,0.0,22.5,0
Sikkim,40.62,1670.8,1,1.39,0.424,0.3,171.0,387.5,99.0,170.4,0.206,0.006,46.9,88.4,73.9,1
Nagaland,27.8,2051.3,2,2.22,0.627,0.0,71.4,113.4,46.6,60.4,0.071,0.006,62.6,32.5,43.1,0
Manipur,20.84,576.8,1,2.07,0.486,74.0,7.2,12.2,39.0,69.4,0.016,0.016,38.4,17.4,24.7,0
Manipur,25.8,235.3,2,5.02,0.775,47.6,30.3,46.5,34.3,47.1,0.1,0.008,55.7,24.3,35.3,0
Nagaland,35.46,854.0,1,0.43,0.814,91.4,18.5,32.9,12.0,18.5,0.003,0.025,53.0,10.8,25.5,0
Mizoram,29.46,980.6,3,1.04,0.443,78.7,1.5,3.9,21.5,34.3,0.039,0.01,64.0,8.5,27.9,0
Arunachal Pradesh,44.31,2764.8,1,1.01,0.426,50.4,117.9,311.8,99.0,139.6,0.502,0.009,54.6,76.9,69.1,1
